dutch,english,article
*Wanneer kunt u langskomen?*,When can you come by?,
*Wat kan ik voor u doen?*,What can I do for you?,
*Ik hoor weleens dat...*,I sometimes hear that,
*Misschien kunnen ze...*,Maybe they can,
*Ik vond... bijzonder*,I found... special,
*Dat hangt van... af*,That depends on,
*Hoe zit het met...?*,How is it with...?,
doorzettingsvermogen,perseverance,het
sollicitatiegesprek,job interview,het
*Heb je... gedaan?*,Have you done...?,
*Sinds wanneer...?*,Since when...?,
diploma-uitreiking,graduation ceremony,de
*Niks aan te doen*,Nothing to be done,
*Ik durf het niet*,I don't dare,
sollicitatiebrief,application letter,de
*Wat viel je op?*,What did you notice?,
*Kun je... niet?*,Can't you...?,
staatsexamen NT2,NT2 state exam,het
verantwoordelijk,responsible,
vanzelfsprekend,the natural thing to do,
zich herinneren,to remember,
personeelszaken,human resources department,de
verzorgingshuis,care home,het
*Ga je mee...?*,Are you coming along?,
*Dat gaat niet*,That won't work,
*Doet hij het?*,Does it work?,
leidinggevende,leader,de
sociale medium,social media,het
*Bovendien...*,Moreover,
tandenborstel,toothbrush,de
huwelijksreis,honeymoon,de
uitzendbureau,employment agency,het
werkzaamheden,work activities,de
binnenblijven,to stay inside,
teleurgesteld,disappointed,
*Kun jij...?*,Can you...?,
*Wil jij...?*,Will you...?,
Start	diploma,"uitreiking, de",
schoonouders,parents-in-law,de
oud en nieuw,New Year's Eve and New Year's Day,
afhangen van,to depend on,
afwasmachine,dishwasher,de
alleenstaand,single,
traditioneel,traditional,
bruidsboeket,wedding bouquet,het
gecondoleerd,sorry for your loss,
zich schamen,to be ashamed,
documentaire,documentary,de
lidmaatschap,membership,het
mogelijkheid,possibility,de
zich scheren,to shave,
terechtkomen,to end up,
terugbrengen,to return,
noodzakelijk,necessary,
werkervaring,work experience,de
werkzoekende,job seeker,de
beantwoorden,to answer,
omschrijving,description,de
receptionist,receptionist,de
solliciteren,to apply for a job,
overstroming,flood,de
waddeneiland,Wadden Island,het
wisselvallig,changeable (weather),
natuurgebied,nature reserve,het
communiceren,to communicate,
*Ik moet...*,I must/have to,
*Mag ik...?*,May I...?,
*Je moet...*,You must,
oppassen op,to care for,
vriendschap,friendship,de
christelijk,Christian,
slachtoffer,victim,het
gemotiveerd,motivated,
presentatie,presentation,de
samenwerken,to collaborate,
gemakkelijk,easy,
taalcontact,language contact,het
strijkijzer,iron,het
afhankelijk,depending,
vliegticket,airline ticket,de
zich voelen,to feel,
verwachting,expectation,de
herinnering,memory,de
luisterboek,audio book,het
tijdschrift,magazine,het
doorbrengen,to spend,
fantastisch,fantastic,
overnachten,to spend the night,
sportschool,gym,de
verandering,change,de
behandeling,treatment,de
vergelijken,to compare,
beschrijven,to describe,
enthousiast,enthusiastic,
bestaan uit,to consist of,
bijeenkomst,meeting,de
interviewen,to interview,
beschikbaar,available,
vaardigheid,skill,de
afwisselend,full of variety,
sollicitant,applicant,de
voorspellen,to predict,
misverstand,misunderstanding,het
terugkijken,to watch back,
vegetarisch,vegetarian,
advertentie,advertisement,de
gebeurtenis,event,de
*verder...*,furthermore,
behoorlijk,rather,
binnenkort,soon,
volwassene,adult,de
egoïstisch,selfish,
enzovoorts,and so on,
Hemelvaart,Ascension Day,
Koningsdag,King's Day,
Pinksteren,Pentecost,
bijbaantje,job on the side,het
nauwelijks,barely,
ontzettend,extremely,
grammatica,grammar,de
lesmethode,teaching method,de
moedertaal,native language,de
uitspreken,to pronounce,
elektrisch,electric,
stofzuiger,vacuum cleaner,de
laten zien,to show,
uitgebreid,extensively,
gescheiden,divorced,
ongetrouwd,unmarried,
ontmoeting,encounter,de
samenwonen,to live together,
uitstellen,to delay,
hartstikke,extremely,
verwachten,to expect,
ongeduldig,impatient,
tegenkomen,to run into,
verdrietig,sad,
downloaden,to download,
medewerker,employee,de
verbeteren,to improve,
verbinding,connection,de
onmogelijk,impossible,
popconcert,pop concert,het
schilderij,painting,het
chagrijnig,grumpy,
discipline,discipline,de
stilzitten,to sit still,
overtuigen,to convince,
psycholoog,psychologist,de
schadelijk,harmful,
statiegeld,deposit,het
verzamelen,to collect,
aanvullend,additional,
halverwege,halfway through,
verzekeren,to insure,
zorgkosten,healthcare costs,de
behulpzaam,helpful,
passen bij,to match,
uitbreiden,to expand,
bereikbaar,accessible,
boekwinkel,bookstore,de
nauwkeurig,accurate,
handschoen,glove,de
opschieten,to hurry up,
beschermen,to protect,
verdwijnen,to disappear,
allergisch,allergic,
ongezellig,unsociable,
thuiskomen,to come home,
aflevering,episode,de
ontspannen,relaxed,
romantisch,romantic,
verslavend,addictive,
voorlopig,for the time being,
wedstrijd,match,de
bovendien,in addition,
ontdekken,to discover,
verzinnen,to make up,
herdenken,to commemorate,
officieel,official,
bijzonder,special,
presteren,to perform,
sportclub,sports club,de
bedoeling,intention,de
interview,interview,het
motivatie,motivation,de
uitspraak,pronunciation,de
magnetron,microwave,de
programma,programme,het
bloedheet,very hot,
tijdelijk,temporarily,
uiteraard,of course,
uitrusten,to rest,
afspreken,to make an appointment,
gemiddeld,average,
opvoeding,upbringing,de
scheiding,divorce,de
fotograaf,photographer,de
trouwjurk,wedding dress,de
uitzoeken,to pick out,
versturen,to send,
eigenwijs,stubborn,
herkennen,to recognize,
lijken op,to resemble,
toevallig,accidentally,
uiterlijk,appearance,het
aanbieden,to offer,
collectie,collection,de
leestafel,reading table,de
interesse,interest,de
meedenken,to help think,
volhouden,to keep on doing,
betekenen,to mean,
onderdeel,part,het
racefiets,racing bicycle,de
spierpijn,muscle pain,de
supporter,supporter,de
teamsport,team sport,de
volleybal,volleyball,
vreselijk,terrible,
anderhalf,one and a half,
bovenkant,top,de
container,container,de
weggooien,to throw away,
kraamzorg,maternity care,de
overzicht,overview,het
psychisch,psychological,
vergoeden,to reimburse,
depressie,depression,de
kwaliteit,quality,de
aanpakken,to go about,
adviseren,to advise,
netwerken,to network,
resultaat,result,het
uitkering,benefit,de
werkgever,employer,de
werknemer,employee,de
voldoende,sufficient,
besluiten,to decide,
directeur,director,de
voorbeeld,example,het
schaatsen,to skate,
vliegtuig,airplane,het
boerderij,farm,de
landschap,landscape,het
knuffelen,to cuddle,
opgroeien,to grow up,
verbieden,to prohibit,
verzorgen,to care for,
soapserie,soap series,de
bevolking,population,de
evenement,event,het
gebruiker,user,de
kleinkind,grandchild,het
verslaafd,addicted,
*Jazeker*,Certainly/Absolutely,
heerlijk,delicious,
speciaal,special,
training,training,de
wandelen,to walk,
bedenken,to think of,
waarheid,truth,de
Europees,European,
Kerstmis,Christmas,
optreden,performance,het
scholier,schoolkid,de
traditie,tradition,de
voorjaar,spring,het
aandacht,attention,de
bezoeken,to visit,
opvallen,to stand out,
positief,positive,
trouwens,by the way,
workshop,workshop,de
Arabisch,Arabic,
bereiken,to achieve,
besteden,to spend,
dichtbij,close to,
doorgaan,to go through,
negatief,negative,
onbekend,unknown,
voordeel,advantage,het
aanrecht,countertop,het
afwassen,to do the dishes,
apparaat,device,het
ophangen,to hang up,
spannend,exciting,
strijken,to iron,
bevroren,frozen,
gisteren,yesterday,
kwartier,quarter of an hour,het
opzoeken,to look up,
tijdstip,time,het
meemaken,to experience,
schijnen,to shine,
eindigen,to end,
huwelijk,marriage,het
populair,popular,
scheiden,to divorce,
toenemen,to increase,
verliefd,in love,
hopelijk,hopefully,
stadhuis,city hall,het
vergeten,to forget,
karakter,character,het
digitaal,digital,
tv-serie,TV series,de
beweging,exercise,de
conditie,condition,de
ophouden,to stop,
sportief,sporty,
geschikt,suitable,
batterij,battery,de
chemisch,chemical,
grofvuil,bulky waste,het
opzeggen,to cancel,
variëren,to vary,
bezorger,deliveryman,de
creatief,creative,
flexibel,flexible,
geduldig,patient,
kritisch,critical,
therapie,therapy,de
wiskunde,math,de
beseffen,to realize,
carrière,career,de
neutraal,neutral,
vacature,vacancy,de
werkloos,unemployed,
afdeling,department,de
fulltime,full time,
receptie,reception,de
vloeiend,fluent,
aannemen,to hire,
geweldig,awesome,
magazijn,warehouse,het
serveren,to serve,
verleden,past,het
doodgaan,to die,
regenjas,raincoat,de
sneeuwen,to snow,
vannacht,tonight,
daardoor,as a result of that,
neerslag,precipitation,de
kamperen,to camp,
uitzicht,view,het
schattig,cute,
toestaan,to allow,
absoluut,absolutely,
journaal,news,het
politiek,politics,de
talkshow,talk show,de
thriller,thriller,de
waarover,about what,
constant,constantly,
feestdag,holiday,de
festival,festival,het
Start	tv,"serie, de",
Start	ex,former,
meegaan,to come along,
plezier,pleasure,het
sowieso,no matter what,
trainen,to train,
zwembad,swimming pool,het
zwemmen,to swim,
logeren,to stay over,
aflopen,to end,
bedrijf,company,het
behalve,except,
noorden,north,het
respect,respect,het
Chinees,Chinese,
bestaan,to exist,
invloed,influence,de
branden,to light up,
draaien,to turn,
drukken,to press,
monteur,mechanic,de
telkens,every time,
jaloers,jealous,
jazeker,absolutely,
klimaat,climate,het
perfect,perfect,
vliegen,to fly,
vriezen,to freeze,
cultuur,culture,de
partner,partner,de
relatie,relationship,de
nerveus,nervous,
niemand,nobody,
regelen,to arrange,
regenen,to rain,
grappig,funny,
vrolijk,cheerful,
zulk(e),such,
concert,concert,het
termijn,term,de
toegang,access,de
toerist,tourist,de
relaxed,relaxed,
gezicht,face,het
groeien,to grow,
kleuren,to dye,
knippen,to cut,
shampoo,shampoo,de
sluiten,to close,
spiegel,mirror,de
voordat,before,
plastic,plastic,het
vuilnis,garbage,het
bepalen,to determine,
medisch,medical,
ervaren,experienced,
functie,function,de
leiding,leadership,de
sociaal,social,
netwerk,network,het
opnemen,to answer,
salaris,salary,het
snelweg,highway,de
beleefd,polite,
bijbaan,job on the side,de
ijverig,diligent,
overleg,meeting,het
bewolkt,cloudy,
ijskoud,ice cold,
onweren,to thunder,
paraplu,umbrella,de
periode,period,de
seizoen,season,het
stijgen,to rise,
stormen,to storm,
inwoner,resident,de
miljoen,million,het
weiland,meadow,het
eenzaam,lonely,
praatje,chat,het
misdaad,crime,de
waarvan,of what,
bezorgd,worried,
