rank,dutch,english,article,category,example,frequency
1,je,you,,other,,134
2,ik,I,,other,,93
3,ja,yes,,other,,54
4,is,is,,verb,,51
5,en,and,,other,,45
6,heb,have,,verb,,37
7,wat,what,,other,,28
8,dat,that,,other,,27
9,in,in,,other,,25
10,met,with,,other,,24
11,we,we,,other,,18
12,voor,for,,other,,18
13,niet,not,,adverb,,17
14,naar,to,,other,,16
15,hoe,how,,other,,16
16,ben,am,,verb,,16
17,ga,go,,verb,,15
18,ook,also,,adverb,,15
19,of,or,,other,,14
20,veel,much/many,,adjective,,14
21,op,on,,other,,13
22,dan,then,,other,,12
23,werk,work,,noun,,12
24,van,of/from,,other,,12
25,mijn,my,,other,,12
26,week,week,,noun,,11
27,goed,good,,adjective,,11
28,nee,no,,other,,10
29,waar,where,,other,,10
30,er,there,,other,,10
31,maar,but,,other,,10
32,bij,at/with,,other,,9
33,vaak,often,,adverb,,9
34,per,per,,other,,9
35,was,was,,verb,,9
36,uur,hour,,noun,,8
37,vind,find/think,,verb,,8
38,doe,do,,verb,,8
39,moet,must,,verb,,8
40,wel,indeed,,adverb,,8
41,jaar,year,,noun,,8
42,om,at,,other,,7
43,te,to,,other,,7
44,nog,still/yet,,adverb,,7
45,zijn,are/be,,verb,,7
46,hij,he,,other,,7
47,misschien,maybe,,adverb,,7
48,zaterdag,Saturday,,noun,,6
49,keer,time,,noun,,6
50,twee,two,,other,,6
51,heel,very,,adverb,,6
52,doen,do,,verb,,6
53,geen,no/none,,other,,6
54,me,me,,other,,6
55,leuk,nice,,adjective,,5
56,tot,until,,other,,5
57,drie,three,,other,,5
58,jij,you,,other,,5
59,graag,gladly,,adverb,,5
60,mooi,beautiful,,adjective,,5
61,morgen,tomorrow,,adverb,,5
62,wil,want,,verb,,5
63,hebben,have,,verb,,5
64,mee,along,,other,,4
65,gaan,go,,verb,,4
66,zullen,shall,,verb,,4
67,woensdag,Wednesday,,noun,,4
68,tijd,time,,noun,,4
69,eten,eat,,verb,,4
